,MaxDelqEver_2.0,MaxDelqEver_3.0,MaxDelqEver_4.0,MaxDelqEver_5.0,MaxDelqEver_6.0,MaxDelqEver_7.0,MaxDelqEver_8.0,MaxDelq2PublicRecLast12M_0.0,MaxDelq2PublicRecLast12M_1.0,MaxDelq2PublicRecLast12M_2.0,MaxDelq2PublicRecLast12M_3.0,MaxDelq2PublicRecLast12M_4.0,MaxDelq2PublicRecLast12M_5.0,MaxDelq2PublicRecLast12M_6.0,MaxDelq2PublicRecLast12M_7.0,MaxDelq2PublicRecLast12M_9.0,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,178.5685318313224,-156.21658015519003,-17.198600363719518,41.52236072817073,-140.2098934182094,297.63707629631494,-68.36774974886418,-13.381028018760144,457.00624822743407,-682.9038163188821,-76.56313253397276,-90.7511086669704,-302.34263628132163,33.86397420029945,-26.62997914701632,3.5670298735908443,-174.09124642185142,-75.67953605475921,-37.2072190265756,-0.0,-578.1362180564618
1,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-315.9976953125,-0.0,46.2843408203125,0.0,0.0,-61.11239468003398,-65.56305239899818,-12.08655463223011,14.82123355766548,-0.0,287.47625866869726,-121.77411642293303,-14.800336889382788,-180.21894597331982,-446.3968869042515,-28.665243094343715,-188.26175926423102,-0.0,-18.32299068781334,-39.612392488861076,216.95578382977052,-65.73709452758705,-605.3253342278466,195.77392828844984,-0.0,-600.6628330300318
2,-0.0,-0.0,-0.0,-0.0,134.648935546875,0.0,187.62640625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,51.3698291015625,169.5387109375,0.0,-7.631822223599579,-25.772368797215012,-151.97536123310422,0.448738955011774,-47.37777950379729,749.7035107811931,-3.532242928960325,-26.304515440437914,27.697715328274843,-468.4145324308762,-5.271061552063136,-18.141615581034756,0.0,-13.519977292112918,89.43258230343808,-0.0,-58.4263596264042,-62.275597908056014,-219.32573028860904,-0.0,-252.97319359026386
3,-131.13376953125,0.0,-0.0,-0.0,116.3965234375,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,90.79683414261582,-381.0322367940223,-60.521822928747184,-36.469188287888514,-11.999613498556316,58.58843029328692,-65.69548060488758,-21.21787543282128,275.1247449370615,-760.7437019204775,-0.0,50.68548046247604,-205.9351583368931,-43.91297391545909,11.298862682582849,-129.73912404480768,-51.90709871948701,33.485859619781124,-119.08595506651572,-0.0,-342.1471928177922
4,-0.0,-0.0,-0.0,-0.0,250.98794921875,0.0,132.286533203125,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-77.49929244352586,-226.34910796417978,-23.693160685269735,1.7249795284646712,-44.45392703841472,316.81432470890417,-244.73415810380905,8.559974996902387,59.214444533660696,-851.9577135441001,9.9508670221479,-5.688801077321321,-0.0,-9.510764743772372,-44.06393653497501,38.6822982628875,-152.14045593047007,-77.31146478966357,-253.81887824969692,-0.0,-390.14123077999204
5,-0.0,-0.0,-0.0,-0.0,32.034189453125,0.0,129.465322265625,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-32.79825439453125,147.583876953125,0.0,48.99623827903063,4.705437128637471,-1.8649251175191726,13.656762730990248,-13.183260552283771,124.92332721282011,83.60176379021257,7.079828684258717,-2.2115489009300746,-120.26550282995835,-175.9789252115083,-44.91880523084757,0.0,-24.457790629939318,33.20631060593383,29.539858086098583,21.783307157763602,-19.593245022513244,-9.849071038530019,-0.0,35.27768577301091
6,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,129.0456590112816,-285.13576911230814,-0.0,1.2156593017862563,-88.27178627114563,195.2220483115326,-195.8152015310387,-8.572112592000373,336.77631035335565,-909.0405896769553,29.268900355766437,2.8028614572196546,-0.0,57.668058457958935,-21.539649650336727,6.423461563374552,-2.080367950405907,2.9745646760380207,-42.67968255019828,-154.4142254436791,-8.771506860940038
7,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,39.27351370378711,112.99990184354135,-25.40267151846207,-9.125663882326439,-14.885568279313913,150.44750536803866,45.611929458966806,-3.1931235176935377,-37.030919981059334,-186.55331564592012,46.69183381123228,-30.197617204638796,0.0,-32.11563073549628,34.694456417198715,34.61833196124866,-72.35598932894187,45.175831107433616,4.401817194830724,-16.52877926982275,42.78785570550545
8,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,25.393192481526004,-200.17197757152306,-169.0599311309924,49.75308278929911,-65.8268168849196,439.77760611689047,-169.0321149744879,89.42998427373888,40.5489565242338,-742.6956341793787,8.288883123991479,7.552477138150217,-0.0,0.0,-0.0,128.20045612558204,2.3533457623946505,-15.398649474591064,0.0,-55.34866932047293,-358.746171376852
9,0.0,-0.0,-0.0,-0.0,107.227470703125,0.0,171.344609375,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,31.1985791015625,143.334404296875,0.0,72.10905461368972,-127.7270538068014,-18.837446069233525,0.8965228373096416,21.722822400106793,896.7259253216199,-60.63908130206272,-5.964233004277551,35.70587748893272,-541.8475211732678,-84.48023686458504,100.36177757060562,0.0,-15.063959760909515,39.25536239666604,-44.17127423405538,-48.4274706377604,15.857838666054356,-127.33477253164219,-217.93838583030845,-68.75753537267398
10,-0.0,0.0,-0.0,-0.0,173.10771484375,0.0,124.3216015625,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,11.768697509765625,133.229267578125,0.0,18.965723035962778,-165.7544406453617,-14.661878886283757,9.483861859446119,1.6371541517855202,543.9083565162672,108.82452951974034,-23.25567452720172,49.329031683392266,-889.2430365292937,13.006443065781347,-115.64441823940504,-0.0,-0.0,-0.0,-139.6491953120427,-62.13858995017255,-0.0,-202.30469623827318,-10.986871760455413,-564.2545263928386
11,0.0,-0.0,-0.0,-0.0,109.177021484375,0.0,180.19044921875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,42.2320361328125,152.38654296875,0.0,108.69905284726632,21.83000290628786,-97.52060220127554,1.095559983686698,-71.68119544924582,593.8623573372558,-159.14780609902758,-4.2710302938990585,19.670490212348497,-311.9396337244867,-36.49797476877412,87.53458524748723,0.0,-21.81611233715049,68.37397742069504,59.20987861622115,-12.977015439320445,12.846592836863627,-168.42004646410325,-126.58354342172673,-22.757248148974362
